"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
0.0596628182606704,1,13,125.71978021978,"GO:0006855 xenobiotic transmembrane transport "," http://amigo.geneontology.org/amigo/term/GO:0006855"," ABCA3"
0.0596628182606704,1,13,125.71978021978,"GO:0033700 phospholipid efflux "," http://amigo.geneontology.org/amigo/term/GO:0033700"," ABCA3"
0.0603103920865659,2,227,14.3996224040277,"GO:0017157 regulation of exocytosis "," http://amigo.geneontology.org/amigo/term/GO:0017157"," LGI3  PRAM1"
0.0603103920865659,1,14,116.739795918367,"GO:0046618 xenobiotic export "," http://amigo.geneontology.org/amigo/term/GO:0046618"," ABCA3"
0.0603103920865659,1,14,116.739795918367,"GO:0060100 positive regulation of phagocytosis engulfment "," http://amigo.geneontology.org/amigo/term/GO:0060100"," CD36"
0.0603103920865659,1,14,116.739795918367,"GO:0070278 extracellular matrix constituent secretion "," http://amigo.geneontology.org/amigo/term/GO:0070278"," ADTRP"
0.0603103920865659,1,14,116.739795918367,"GO:1902563 regulation of neutrophil activation "," http://amigo.geneontology.org/amigo/term/GO:1902563"," PRAM1"
0.0603103920865659,1,14,116.739795918367,"GO:1905155 positive regulation of membrane invagination "," http://amigo.geneontology.org/amigo/term/GO:1905155"," CD36"
0.0603103920865659,1,14,116.739795918367,"GO:2001140 positive regulation of phospholipid transport "," http://amigo.geneontology.org/amigo/term/GO:2001140"," ABCA3"
0.0625160665540424,1,15,108.957142857143,"GO:0042308 negative regulation of protein import into nucleus "," http://amigo.geneontology.org/amigo/term/GO:0042308"," CD36"
0.0625160665540424,1,15,108.957142857143,"GO:1904590 negative regulation of protein import "," http://amigo.geneontology.org/amigo/term/GO:1904590"," CD36"
0.0625160665540424,1,15,108.957142857143,"GO:2000402 negative regulation of lymphocyte migration "," http://amigo.geneontology.org/amigo/term/GO:2000402"," ADTRP"
0.0625160665540424,1,15,108.957142857143,"GO:2001138 regulation of phospholipid transport "," http://amigo.geneontology.org/amigo/term/GO:2001138"," ABCA3"
0.0645816000553262,2,246,13.287456445993,"GO:0007596 blood coagulation "," http://amigo.geneontology.org/amigo/term/GO:0007596"," CD36  ADTRP"
