,ENSG00000022267.19,ENSG00000031081.11,ENSG00000047648.23,ENSG00000066405.13,ENSG00000070778.13,ENSG00000072163.20,ENSG00000072657.9,ENSG00000073754.6,ENSG00000078081.8,ENSG00000092051.17,ENSG00000094963.14,ENSG00000101280.8,ENSG00000102104.9,ENSG00000102683.8,ENSG00000102760.13,ENSG00000105971.15,ENSG00000105974.13,ENSG00000107742.13,ENSG00000108381.11,ENSG00000108576.10,ENSG00000109205.16,ENSG00000111052.7,ENSG00000112782.19,ENSG00000114790.13,ENSG00000114854.8,ENSG00000115361.8,ENSG00000118526.7,ENSG00000120156.22,ENSG00000120913.23,ENSG00000121691.7,ENSG00000123119.12,ENSG00000125459.17,ENSG00000128268.12,ENSG00000131471.7,ENSG00000131831.18,ENSG00000134020.8,ENSG00000134115.13,ENSG00000134917.10,ENSG00000135052.16,ENSG00000135063.19,ENSG00000135218.19,ENSG00000135604.10,ENSG00000136160.17,ENSG00000138821.13,ENSG00000139304.16,ENSG00000139567.13,ENSG00000140600.17,ENSG00000141338.14,ENSG00000143590.14,ENSG00000144843.11,ENSG00000150625.16,ENSG00000151718.16,ENSG00000154342.6,ENSG00000154721.15,ENSG00000154783.12,ENSG00000155511.18,ENSG00000155897.10,ENSG00000157654.19,ENSG00000158435.8,ENSG00000158764.7,ENSG00000159307.19,ENSG00000159708.18,ENSG00000161649.13,ENSG00000163501.7,ENSG00000163815.6,ENSG00000165197.5,ENSG00000166123.14,ENSG00000167434.10,ENSG00000167588.13,ENSG00000168309.18,ENSG00000168481.9,ENSG00000168484.12,ENSG00000168497.5,ENSG00000168539.4,ENSG00000168952.15,ENSG00000169218.14,ENSG00000169252.6,ENSG00000169418.10,ENSG00000170323.9,ENSG00000170989.10,ENSG00000171885.18,ENSG00000176771.17,ENSG00000179133.15,ENSG00000180440.4,ENSG00000182010.11,ENSG00000183010.17,ENSG00000183019.7,ENSG00000186994.11,ENSG00000196616.14,ENSG00000197465.14,ENSG00000198358.4,ENSG00000198873.12,ENSG00000204305.14,ENSG00000213853.10,ENSG00000224215.1,ENSG00000227051.7,ENSG00000234281.5,ENSG00000238018.2,ENSG00000241644.2,ENSG00000243566.7,ENSG00000244215.2,ENSG00000244280.1,ENSG00000248551.1,ENSG00000249741.2,ENSG00000257894.2,ENSG00000261371.6,ENSG00000261863.1,ENSG00000263155.6,ENSG00000268388.6,ENSG00000277494.2,Label
TCGA-44-6147-01A-11R-A278-07,2142,2669,541,553,990,246,83,1,2220,43,1689,14,17,13,2723,3646,5980,1630,141,20,0,203,1496,1246,85,142,182,1063,373,4922,117,425,365,1898,224,227,46,430,4820,1090,700,320,1739,3387,38,1431,29,1564,63,571,151,1937,33,628,1260,59,0,6580,2265,4,215,151,5,56,146,274,2542,14,105,875,34,10062,2901,3,207,48,305,1887,144,2154,6505,338,126,3,272,2722,28,173,4770,26,0,951,605,8916,3,2512,30,44,1666,18,5,42,0,14,50,9986,3,30,88,47,1
TCGA-80-5607-01A-31R-1949-07,702,932,108,1665,277,252,18,5,3604,37,934,14,9,7,4903,1702,2794,2477,66,283,14,72,1485,936,70,88,76,337,955,2683,209,124,212,953,368,427,27,116,7639,259,455,378,495,7762,11,835,8,151,39,341,84,694,25,275,377,30,10,3084,2798,19,67,22,36,20,151,197,1609,71,68,1506,477,39347,2155,4,132,18,676,229,45,871,3371,126,12,9,534,1701,81,80,1530,9,3,489,3215,11807,5,492,23,18,877,143,0,15,1,4,20,3798,2,41,134,176,1
TCGA-50-5072-01A-21R-1858-07,1636,1296,134,2201,815,773,68,2,10639,102,709,10,4,18,2130,4866,10196,2485,45,204,16,392,1127,773,163,376,113,650,629,2105,192,570,251,2973,424,1086,29,190,31294,220,1065,568,888,5679,22,1507,16,291,226,1209,168,1428,64,449,904,30,2,3923,5505,17,670,87,54,25,232,115,2381,75,455,1134,290,70236,1143,4,102,15,164,1349,871,1755,4120,198,16,9,481,3349,254,129,739,19,0,722,3445,8479,5,429,48,51,985,3220,3,35,1,8,40,8808,6,42,186,87,1
TCGA-05-4396-01A-21R-1858-07,395,565,98,54,420,198,2,1,1153,16,497,0,0,4,1137,630,1176,1391,25,15,79,225,427,233,24,79,79,238,550,4518,15,314,234,593,242,109,1,127,40278,482,102,106,698,1107,2,879,10,117,199,384,19,782,1,210,370,9,0,1212,4086,2,14,28,0,16,77,76,5010,73,18,113,24,571,475,4,70,1,24,305,17,583,200,342,1,1,141,2474,8,52,406,1,0,377,124,2831,0,242,8,14,480,37,0,6,0,3,6,5548,2,87,255,22,1
TCGA-67-3770-01A-01R-0946-07,856,1073,103,1125,425,228,11,4,1578,24,1135,12,6,8,1806,2843,2141,771,37,54,6,37,3050,399,952,70,58,166,293,7532,31,164,23,721,163,3871,414,90,3628,204,739,489,415,9116,1,498,3,246,104,363,326,864,5,182,176,59,0,718,2057,7,44,208,4,5,203,100,1436,64,299,246,1294,187354,690,1,100,13,370,630,108,697,7980,27,9,11,117,5959,347,41,1332,2,0,201,1579,7197,3,439,67,21,1439,56,5,44,0,1,82,4083,5,29,100,107,1
TCGA-73-4676-01A-01R-1755-07,1096,1601,148,1880,236,391,83,5,2249,40,1342,29,14,19,4399,9990,15840,1594,28,220,10,130,695,2870,246,85,119,647,1826,3683,84,1140,98,1903,177,362,37,199,14581,396,1134,452,1403,5302,15,1301,13,384,309,762,276,978,27,379,585,56,2,4502,2501,23,69,38,30,10,326,323,1437,229,296,1797,137,45088,2543,8,518,13,149,418,348,1879,4811,141,9,16,755,9081,650,121,1271,17,3,921,3196,9494,8,208,17,39,1144,330,11,15,1,5,134,8578,7,42,358,197,1
TCGA-50-5939-01A-11R-1628-07,1030,1502,169,1465,789,427,70,14,3046,31,772,19,1,9,1527,4983,8887,3649,21,42,3,94,660,183,71,71,127,390,426,2075,57,187,342,2354,278,323,42,187,7606,165,982,554,562,4721,12,1123,65,222,73,502,75,1216,23,251,792,34,5,6184,1662,16,86,24,6,9,95,167,608,20,306,618,159,33035,1219,1,100,29,125,441,632,1247,1766,129,5,5,615,1711,266,117,1028,9,2,629,2643,4672,5,306,16,17,579,390,2,29,3,6,19,8478,6,106,103,211,1
TCGA-91-6836-01A-21R-1858-07,686,584,38,29,133,211,0,0,1514,3,71,4,0,4,592,1249,969,776,3,1,1,54,159,721,7,4,29,423,409,1764,11,1330,68,381,92,31,4,11,21560,185,120,145,90,4905,0,788,0,36,679,261,59,1311,9,140,409,1,0,4668,3417,0,36,24,0,1,39,4,3807,8,10,28,21,82,2064,0,122,0,52,115,14,416,149,225,3,7,491,5536,143,62,3,4,3,307,78,2889,0,366,10,37,33,5,2,2,1,2,3,4816,0,10,64,32,1
TCGA-05-4434-01A-01R-1206-07,3780,4400,419,385,1231,1772,26,21,7831,115,2976,54,2,16,2638,10785,26276,8457,103,18,66,162,3108,567,530,93,314,974,3044,6495,217,1158,1009,6091,921,984,6,739,29411,574,1720,1438,738,10779,8,3072,48,1101,565,1360,106,3139,176,1016,1657,162,3,12506,7904,0,183,108,25,181,158,385,2777,315,243,592,83,19333,1860,13,870,72,413,2663,91,2307,2157,297,178,2,560,7137,203,405,5057,38,1,1482,762,9826,12,1934,14,80,2528,802,1,86,0,20,39,17663,5,100,544,241,1
TCGA-55-8621-01A-11R-2403-07,9203,4616,688,18725,1971,3620,192,60,16254,207,5230,164,122,119,5506,8516,30267,18231,178,1773,29,440,8426,2204,1416,343,1066,2249,1974,8495,280,381,3289,9421,1148,1973,284,1232,5243,1968,6355,1586,2607,10568,118,5914,182,1312,54,1325,593,3252,592,1147,3499,530,91,11473,2021,609,817,719,329,141,1140,1544,954,1131,2589,2614,2452,604205,4887,79,907,143,749,2103,3039,2983,12609,1291,164,250,3814,1723,3634,715,11797,83,40,2672,47998,25144,41,2444,107,209,7340,1660,132,168,21,33,162,26446,73,315,1791,2488,1
TCGA-05-4402-01A-01R-1206-07,1396,5545,237,20052,2318,1065,19,2,8787,89,4872,12,34,40,3843,6582,5751,3450,41,8,145,378,3419,2360,1191,294,194,438,1464,9812,89,925,323,4845,863,1487,330,419,26129,813,12615,556,542,6163,27,2025,1,417,589,2626,123,3159,95,503,1406,38,1,5327,8218,1,65,255,5,35,147,195,3635,26,160,327,82,7938,2137,3,437,22,620,360,51,902,11860,768,24,5,629,6128,497,135,3191,186,0,1493,2154,24652,5,1602,21,97,1323,3029,1,67,1,54,130,13105,29,75,92,123,1
TCGA-44-3917-01A-01R-A278-07,92,504,55,40,241,75,674,0,623,0,312,3,5,2,625,267,419,538,16,20,3,1427,125,349,82,135,9,261,175,6346,23,294,63,283,15,38,4,15,2762,90,319,256,210,2698,7,517,5,90,15,169,744,1398,2,121,205,0,0,1146,2238,0,35,23,7,12,54,26,2145,0,21,18,12,1060,314,0,10,4,193,61,17,390,1153,702,0,0,872,4577,14,51,64,11,0,553,96,2415,0,234,48,6,576,1,0,0,1,7,3,3971,0,7,16,0,1
TCGA-73-4677-01A-01R-1206-07,2715,2547,306,3540,2668,921,28,5,12502,81,2476,20,33,14,5161,15988,25289,5388,57,309,6,245,1685,329,503,538,545,1171,2698,15463,346,728,183,4804,659,26554,37,322,31497,323,3024,1604,4355,11433,12,2916,4,782,239,1973,133,2529,16,1008,1000,206,5,4272,4067,9,66,72,95,25,668,763,2202,477,164,3185,229,43581,5382,20,427,29,466,1903,276,3720,11253,159,12,6,499,5903,307,236,5079,42,1,1283,9354,20214,2,543,75,40,5559,152,8,17,2,11,156,14604,6,98,497,433,1
TCGA-67-3773-01A-01R-0946-07,802,2358,71,922,153,264,12,4,1561,28,1545,8,8,11,2690,3766,4037,1186,55,88,6,42,506,561,346,992,65,159,309,7630,35,183,66,1440,243,7706,22,78,981,705,588,264,612,14060,4,765,5,138,29,543,36,1169,13,301,268,26,4,705,4142,23,166,120,16,12,187,288,130,75,171,221,50,26822,1500,2,71,12,421,351,136,668,9505,50,5,7,304,447,136,57,1463,9,2,254,3788,5735,3,226,233,10,1233,121,5,4,2,9,23,5210,9,29,98,33,1
TCGA-91-6848-01A-11R-1949-07,2963,1955,242,17,571,279,1473,12,2153,39,494,26,0,7,674,1225,3708,1487,9,8,2,165,133,325,5,10,46,1916,287,1053,131,260,208,1503,179,11,5,9,5486,27,470,489,287,2356,5,2609,11,189,37,538,30,3655,4,1568,909,13,168,10515,1627,0,85,6,2,0,60,6,1336,6,14,108,0,74,280,0,77,25,35,393,84,857,178,766,16,38,441,1827,111,103,276,35,0,746,117,1334,5,504,10,16,122,8,0,2,0,42,7,9218,0,12,84,25,1
TCGA-50-6592-01A-11R-1755-07,456,1629,119,46,924,268,648,1,2798,26,710,3,1,1,1198,3528,2805,3183,32,24,44,271,421,596,493,27,48,300,748,1990,68,443,185,1998,202,14,1,21,30905,82,327,607,197,5281,0,1830,0,68,148,751,48,1470,1,344,714,7,2,5540,4454,4,12,48,2,5,74,13,991,31,54,114,2,44,228,1,316,8,50,708,61,1148,173,186,0,0,316,1470,121,86,47,7,4,682,411,3176,0,331,4,41,121,4098,0,4,0,2,4,8354,1,30,74,38,1
TCGA-86-7954-01A-11R-2187-07,920,3860,250,632,867,810,16,9,11872,108,4853,10,2,32,1255,2182,2697,6741,80,29,0,134,1343,1071,60,95,73,841,673,7148,42,1896,189,1670,506,185,32,156,30049,591,968,1066,769,8803,15,2074,6,289,158,1463,44,2937,12,505,1832,26,3,5787,6292,13,99,335,11,21,149,139,4743,37,322,227,119,19577,780,19,59,10,212,435,99,1604,1805,202,18,5,833,5535,144,214,1099,32,3,1420,1846,5214,3,494,13,72,573,183,0,10,0,22,12,13361,4,26,110,101,1
TCGA-55-6981-01A-11R-1949-07,340,622,60,339,304,520,8,6,621,25,450,8,1,6,740,1237,1521,1028,11,12,1,34,369,765,81,20,47,351,242,1744,17,445,74,1018,156,87,66,86,11226,277,484,96,304,3657,9,745,0,93,57,279,18,650,13,257,536,14,0,2288,1677,6,26,22,1,8,73,47,1234,22,109,225,25,4616,454,3,54,13,195,196,50,550,926,41,5,1,283,3370,137,83,496,4,1,316,877,2554,1,420,4,45,498,177,0,6,1,0,14,4665,2,23,114,132,1
TCGA-86-8054-01A-11R-2241-07,1075,804,105,1261,690,264,382,2,4829,27,1429,3,8,7,3175,1063,2698,1732,29,22,6,552,970,787,138,175,122,488,347,5547,71,1347,98,1545,319,689,42,80,18825,535,869,170,868,6298,56,1260,4,638,84,318,53,3133,18,391,617,84,3,6348,6158,48,166,38,1,7,1097,101,6040,103,30,392,104,17068,1384,0,297,17,141,422,99,980,6105,3760,3,294,2766,5570,67,124,908,13,4,1440,2487,2660,2,493,25,84,460,76,1,27,0,12,21,8661,5,30,146,259,1
TCGA-J2-A4AD-01A-11R-A24H-07,1538,711,318,910,1656,746,15,0,1348,15,1975,16,6,42,2116,4933,3522,34667,54,92,5,82,639,918,1088,549,181,294,803,5258,60,766,157,3764,346,221,41,311,21401,707,400,255,551,1451,36,825,8,335,845,982,90,687,75,471,529,48,1,6284,5383,30,169,83,1,13,128,328,2177,84,113,1162,60,18789,1419,9,180,30,228,379,101,551,2012,110,25,21,1111,4477,67,264,2132,10,5,524,2021,16775,4,1008,18,119,1086,3695,4,70,1,2,67,4668,10,40,186,143,1
TCGA-62-A46P-01A-11R-A24H-07,217,295,60,183,197,599,0,0,5044,16,219,4,0,1,1530,517,1057,1592,39,4,2,45,238,165,238,135,48,222,492,2115,21,497,59,461,348,250,1,44,20581,886,400,104,498,1881,0,989,0,60,164,184,12,401,0,464,394,4,0,1894,3965,3,13,51,10,9,211,117,6299,238,76,276,9,10294,630,5,58,4,82,359,19,597,647,14,3,0,148,4082,81,219,503,5,0,379,564,3887,0,106,3,15,900,35,1,4,0,0,7,4822,0,49,109,34,1
TCGA-86-7955-01A-11R-2187-07,221,265,392,128,814,197,3,0,1630,15,193,3,2,3,585,3266,1493,748,8,7,2,19,162,522,240,146,37,172,480,11089,10,1624,69,792,92,125,7,20,24893,268,222,55,184,3618,1,621,2,39,1284,789,6,3523,21,116,532,4,781,927,5704,1,45,9,0,5,62,51,7738,44,24,100,5,1407,365,0,20,5,102,172,24,885,481,303,2,1,432,18989,31,368,118,5,0,350,507,7212,0,419,17,68,169,263,0,9,0,4,8,3256,0,7,34,56,1
TCGA-50-6590-01A-12R-1858-07,771,1960,90,22,1634,515,90,39,1028,27,358,6,0,4,597,8409,16527,2734,9,2,1,68,202,50,8,1,13,226,393,1227,22,403,316,901,132,10,0,33,8352,24,355,664,152,3261,0,1019,143,24,40,854,2,1967,20,146,639,10,0,5947,3339,1,20,9,1,2,16,2,1395,0,11,98,3,99,183,0,40,11,82,255,31,462,47,13,16,0,232,1105,20,52,57,5,1,652,97,1147,2,607,4,16,115,17,0,45,0,2,6,7148,0,18,28,11,1
TCGA-97-8179-01A-11R-2287-07,2717,2200,413,3253,1403,1557,148,20,2787,59,1459,53,14,34,4190,5943,10047,4328,126,216,5,259,2043,1126,374,184,236,993,749,4807,93,1053,473,5876,500,4210,58,655,12753,475,1359,560,1702,5994,68,3496,19,917,292,667,184,1580,58,714,1838,141,7,5266,5468,126,279,199,46,22,484,880,8461,569,624,1011,220,54608,2308,12,309,31,132,1557,459,1831,5469,289,13,66,1791,8280,681,243,3732,21,15,1442,8297,19293,1,973,25,72,2940,594,9,25,2,3,211,18638,11,119,700,854,1
TCGA-91-A4BD-01A-11R-A24H-07,848,832,54,1369,284,491,18,1,3489,45,602,4,7,11,2567,1955,2785,1584,19,46,6,96,768,374,422,88,40,276,502,2801,27,252,163,470,138,5580,54,97,2263,571,902,203,348,7898,5,900,24,129,49,337,36,566,40,279,289,17,2,814,2558,70,297,134,33,26,144,45,497,222,211,269,132,65295,3082,3,122,3,374,278,262,263,2447,68,81,10,554,416,1448,99,1210,18,4,336,4938,10118,3,182,16,6,726,128,1,21,1,6,14,4613,11,93,224,116,1
TCGA-78-7162-01A-21R-2066-07,6826,6692,623,32954,2511,3813,54,7,41185,134,4628,10,159,90,5884,16593,47922,19999,147,2544,87,730,10961,2958,1875,881,933,2589,1852,14557,936,510,1685,10417,1629,2465,250,1226,14888,1591,4957,1173,9125,30634,215,7756,142,1942,91,1993,1282,4495,168,2350,2732,397,111,14327,2944,441,410,630,365,136,939,1716,3687,1873,67,3213,2417,477097,5866,148,1394,95,805,3175,149,5001,32411,1058,73,205,4102,3621,19,464,13653,123,15,2852,47369,49932,25,1854,216,219,8015,3020,124,204,19,33,563,37780,72,427,1603,988,1
TCGA-50-5931-01A-11R-1755-07,862,659,75,20,352,378,7,0,773,19,334,4,0,73,616,1032,1664,336,18,9,0,236,44,312,10,22,19,184,258,2296,118,692,301,1114,267,12,3,44,2399,41,191,49,297,567,28,695,192,59,129,507,6761,407,13,199,360,10,7,1326,2219,1,24,39,2,1,85,10,2890,10,37,141,1,59,153,4,33,4,44,185,39,419,117,665,13,6,217,2221,4,69,409,23,1,297,453,3571,0,454,6,16,174,12,1,8,11,28,5,3196,0,4,29,20,1
TCGA-78-8662-01A-11R-2403-07,1387,352,43,310,491,296,2,1,2157,12,259,15,3,1,1413,1625,2068,548,21,27,1,376,16824,457,1231,26,38,149,213,1200,14,1001,50,719,128,87,515,32,17971,1370,298,537,406,970,23,757,1,206,331,100,25,1424,9,209,260,5,0,823,4781,6,37,25,3,7,112,162,1835,105,139,63,32,11677,680,3,26,7,35,210,202,307,1732,20,4,4,530,10933,81,85,315,2,0,191,1800,7854,1,82,6,50,235,332,2,567,0,4,80,3117,2,36,111,44,1
TCGA-75-5125-01A-01R-1755-07,303,1460,134,144,561,292,0,2,3045,33,584,3,3,12,1316,2162,1825,2222,13,18,2,77,223,745,111,48,73,2407,464,2322,36,659,112,950,193,347,3,24,12799,156,418,663,325,3305,3,1264,0,221,104,790,25,693,9,256,720,0,0,2211,2191,1,44,32,3,6,44,9,1055,16,46,149,36,509,315,4,37,3,88,206,13,617,595,19,1,0,272,3335,125,94,82,10,0,578,434,5451,1,167,8,23,264,70,8,0,0,6,8,6918,1,17,58,58,1
TCGA-55-8512-01A-11R-2403-07,3579,1589,299,7230,1317,1576,62,11,29094,66,2816,27,65,22,1901,2724,6088,2410,145,155,42,122,3879,786,632,329,220,637,1203,6416,153,475,602,2799,556,2422,27,597,6402,1048,1240,793,1094,5770,53,1838,123,1133,54,699,148,1135,165,593,825,100,2,3458,2283,93,575,485,57,54,292,200,2113,290,440,1764,1150,236285,2799,61,371,82,509,1033,901,940,7709,321,445,24,1072,1101,217,347,5656,21,4,1072,9221,10682,24,1628,73,119,893,781,15,117,2,11,135,6473,64,60,593,243,1
TCGA-73-A9RS-01A-11R-A41B-07,126,161,33,61,218,176,1,0,751,8,128,3,0,0,1282,860,368,412,1,3,0,24,68,97,12,28,8,110,83,1099,7,558,19,294,48,66,1,13,8893,5,86,68,243,740,0,305,0,25,78,204,0,674,5,73,152,0,0,674,1801,0,49,18,1,12,45,9,4446,20,10,196,15,1142,211,0,9,10,12,164,4,342,90,12,0,0,287,3850,2,50,120,0,0,184,218,1484,0,68,6,35,56,105,0,3,0,1,6,2080,0,2,10,21,1
TCGA-69-7764-01A-11R-2170-07,1176,2460,148,1289,1049,440,5,0,8503,19,284,0,19,9,1763,2585,2932,1727,65,59,6,70,3245,717,87,134,147,289,431,3257,48,550,58,1699,262,843,122,62,12001,1450,767,132,468,1822,7,657,2,400,110,755,58,1032,7,228,346,72,3,2184,2889,15,73,788,21,1,120,79,4059,102,19,381,67,12083,1509,4,83,6,83,435,30,775,8361,158,0,5,347,3786,6,71,1481,11,6,458,1886,8395,0,339,18,131,1754,65,2,13,0,4,84,5320,0,39,141,66,1
TCGA-L9-A5IP-01A-21R-A39D-07,446,698,119,2,656,465,0,1,285,5,275,5,0,2,617,2104,3353,2892,2,4,6,49,106,128,20,20,6,337,304,1869,26,643,99,525,160,0,0,18,29122,62,25584,428,416,14543,0,1102,218,32,336,543,15,1221,12,186,723,55,0,4852,4622,0,1037,11,2,7,45,22,1470,3,35,59,4,26,1266,1,22,7,48,524,131,1109,2,1149,35,3,89,4043,42,218,3,0,1,454,122,5121,0,150,7,90,120,686,0,2,0,2,11,6183,0,124,13,16,1
TCGA-55-6987-01A-11R-1949-07,1822,3057,298,3296,675,1035,49,4,10608,69,2335,11,9,21,4444,3889,6830,10115,110,40,28,307,2554,916,235,342,299,1248,1145,5519,188,1291,1047,3160,638,1374,55,247,14218,292,2923,1715,1116,14657,31,3875,16,519,521,1207,98,1388,28,1077,1691,64,14,8585,4913,36,551,81,22,21,378,251,3552,226,134,1168,376,59610,1402,8,449,15,477,843,133,2232,7922,540,21,29,936,6235,364,272,2687,53,6,1621,3546,9360,6,857,49,51,1558,608,2,49,1,27,59,24400,4,96,349,217,1
TCGA-38-A44F-01A-11R-A24H-07,4094,1462,407,19567,1132,2046,62,31,5283,80,5037,20,14,36,4606,9979,11051,5350,211,403,131,172,2741,719,413,361,238,740,999,4768,133,276,2313,3418,1020,727,125,799,6621,929,1457,596,1150,3272,47,2412,41,569,74,814,154,927,105,1016,1840,103,2,3191,2700,80,719,334,109,712,410,392,929,405,417,1467,216,84025,2123,29,541,57,459,814,1253,1271,4657,225,163,37,1340,444,653,423,5854,57,4,1464,9897,11396,6,934,31,58,3396,1235,7,71,2,21,45,10923,18,212,759,227,1
TCGA-NJ-A4YI-01A-11R-A262-07,654,2237,67,735,555,806,164,10,1463,121,209,41,2,6,945,793,1480,1096,8,15,2,105,394,593,250,50,68,112,772,4472,9,634,90,1596,172,150,16,12,2602,595,255,331,145,1666,3,3972,2,102,145,494,34,962,29,145,546,0,0,1087,2747,16,41,128,4,10,44,38,544,3,1150,62,19,1429,5452,0,5,2,308,234,1179,194,10012,16,2,4,214,3155,2330,50,1385,18,2,213,1974,10418,0,225,10,11,502,175,3,157,0,3,12,5582,1,8,47,66,1
TCGA-62-8398-01A-11R-2326-07,505,1753,348,32,471,290,2,0,2784,11,1115,5,1,3,965,1995,2003,7903,26,4,1,108,562,401,130,45,50,276,445,4642,48,778,1693,2068,456,122,24,38,15870,70,666,349,2644,2506,10,1571,1,214,198,494,33,2281,3,212,967,8,0,3623,4197,0,448,32,2,4,20,27,25580,29,196,142,9,60,1421,1,163,5,106,280,93,1168,1294,54,2,0,560,5423,156,143,135,11,0,1022,460,4401,0,470,8,38,350,98,0,6,0,8,9,7295,0,109,81,124,1
TCGA-55-6978-01A-11R-1949-07,2131,3872,310,166,1640,1699,108,2,3428,85,4083,23,5,11,2416,15127,21275,5873,44,27,0,291,1433,1379,25,38,277,769,1240,3719,122,564,141,5137,730,126,7,52,19863,451,416,1337,672,3897,7,3483,5,277,55,1503,24,3088,13,690,1898,1,11,13000,3647,1,147,51,3,8,156,4,2405,21,33,356,9,847,3325,1,95,30,369,455,71,1790,979,84,9,3,2125,1839,108,167,337,31,0,1963,413,3041,0,872,6,77,732,33,0,8,0,26,8,15526,0,89,223,48,1
TCGA-93-A4JP-01A-11R-A24X-07,17552,5453,1216,31515,4294,4094,522,129,16641,246,13050,198,181,307,9224,15677,55996,23589,574,1059,95,1208,20485,4361,1892,1432,2377,2546,2537,11862,532,692,3629,21664,1278,2087,571,2539,9416,4771,13322,2308,4538,17956,364,4565,261,5267,160,1472,2011,6726,718,2426,3912,1684,200,21098,2445,1032,1757,1328,490,199,1009,4643,4413,1168,1102,3107,2953,540006,9723,141,1805,429,1633,2270,3397,4471,19189,3716,144,612,17375,2750,2426,1054,24314,60,88,5033,76336,38160,49,4836,119,755,13766,6430,33,307,34,32,411,29004,109,355,1291,1707,1
TCGA-75-6214-01A-41R-1949-07,1602,723,46,20,1272,276,392,4,678,7,389,8,1,0,927,13613,22959,1385,11,18,0,28,2107,245,328,10,6,159,346,3388,78,808,2802,455,187,9,3,25,20401,90,208,318,116,1012,3,831,223,21,825,417,18,1443,629,269,449,13,0,5345,8690,7,6,14,0,2,30,7,1530,5,175,71,19,108,302,3,63,1,783,135,76,382,8,56,59,0,657,4177,33,108,14,55,2,1573,245,11821,7,197,6,52,152,2253,0,450,0,32,14,3984,1,186,34,28,1
TCGA-S2-AA1A-01A-12R-A39D-07,2079,1554,216,25925,674,976,3,0,1024,39,1974,7,3,4,3527,1691,3442,4964,54,7,97,110,834,302,234,308,65,667,821,2216,44,429,644,4166,631,104,24,477,19471,588,981,274,489,1336,9,1623,5,493,36,659,40,888,5,767,874,28,140,4218,1505,4,123,270,119,820,271,107,3810,104,973,549,12,338,1457,17,460,40,136,503,297,1551,769,74,7,0,368,2294,12,245,2470,15,0,1042,1590,3281,2,713,9,45,1973,376,0,28,0,11,23,10867,12,110,355,44,1
TCGA-44-6774-01A-21R-1858-07,1326,1483,118,49,652,1157,5,0,344,13,1251,13,0,9,581,1311,1726,1089,22,163,1,123,159,286,95,8,59,694,596,1159,41,223,104,3408,370,8,6,29,4940,143,263,206,443,1208,13,1403,0,274,34,479,5,1079,14,506,1001,29,14,4493,1795,3,18,11,4,1,74,1,1049,11,10,139,3,108,517,0,24,42,58,386,53,910,144,152,3,64,268,2530,88,109,121,7,0,1134,60,1814,1,853,5,9,1003,6,0,1,0,4,29,8573,0,16,86,68,1
TCGA-55-6982-01A-11R-1949-07,368,822,65,8,300,485,23,1,1153,19,822,35,2,11,537,1990,2150,732,5,2,1,58,1659,312,35,19,58,94,635,2284,27,250,576,2461,306,30,5,49,17374,223,287,239,119,19744,2,638,1,100,52,615,71,994,3,215,477,4,0,2660,2993,0,27,17,1,3,11,5,643,1,120,77,2,124,290,1,96,30,79,511,105,224,1129,102,12,6,126,2517,203,47,119,4,1,179,197,5528,0,356,1,42,249,18,1,35,0,4,14,3420,0,31,25,9,1
TCGA-05-5423-01A-01R-1628-07,1022,1727,136,2233,308,276,41,11,8557,89,1486,43,12,17,1884,3489,2244,1661,24,111,4,127,6579,278,926,207,69,305,526,8657,57,261,103,931,213,809,415,144,5200,326,1038,568,217,14195,9,846,1,175,100,620,72,1007,26,250,498,67,3,1358,1533,25,50,464,20,10,212,194,899,33,460,461,70,34327,663,2,112,12,424,718,385,563,10708,81,11,6,457,2151,2279,65,2015,12,1,323,3978,12419,3,235,76,8,738,122,0,75,2,8,130,4805,10,28,83,80,1
TCGA-55-A57B-01A-12R-A39D-07,4628,4131,455,1560,3212,1163,74,12,2803,69,820,36,17,74,6822,5037,10560,5865,141,390,7,214,1843,2121,1177,220,553,983,1467,6909,322,597,621,6985,960,973,450,1034,6271,1540,1429,716,1703,5643,47,3187,25,1862,263,713,327,2788,270,652,1980,426,18,7795,4182,123,496,356,57,176,488,769,1661,332,220,1337,148,66447,4083,13,416,78,965,901,615,2102,4730,586,39,131,1777,3635,290,567,5999,23,2,2048,9452,17263,6,1110,23,220,3521,1084,19,44,11,15,63,17278,10,203,953,1839,1
TCGA-L9-A443-01A-12R-A24H-07,1382,1306,189,126,815,1675,7,2,1177,125,967,32,11,2,1840,1787,1563,854,41,11,2,68,193,862,178,53,55,332,446,2812,57,732,78,1723,314,580,22,195,13977,658,213,164,459,3351,2,970,16,206,240,559,29,783,22,582,645,1,0,2411,9979,0,115,89,4,6,131,71,905,10,60,349,3,600,808,0,163,16,263,371,74,968,92,277,61,0,192,3315,28,134,981,11,0,368,251,10451,1,227,10,75,1359,18,35,5,0,3,2,5376,10,36,62,46,1
TCGA-05-4430-01A-02R-1206-07,3416,3138,317,4528,1139,1907,53,18,20504,93,4538,20,17,63,4715,5721,8834,5126,123,91,30,282,3403,1394,777,227,587,1045,1768,8400,173,648,476,5838,1039,574,95,528,25093,935,2470,777,1649,8482,26,3799,30,874,325,847,229,1923,292,1073,1754,86,14,5276,5068,107,225,190,47,26,555,679,4364,173,285,1026,459,119399,2830,4,298,66,533,1210,317,2931,11289,205,55,34,1146,9586,873,289,5493,29,5,1877,13192,23569,15,1886,33,21,2626,464,12,400,3,19,34,20795,36,73,296,528,1
